project_name,site,date,time,filename,Acoustic_Complexity_Index_main_value,Acoustic_Complexity_Index_min,Acoustic_Complexity_Index_max,Acoustic_Complexity_Index_mean,Acoustic_Complexity_Index_median,Acoustic_Complexity_Index_std,Acoustic_Complexity_Index_var,Acoustic_Diversity_Index_main_value,Acoustic_Evenness_Index_main_value,Bio_acoustic_Index_main_value,Normalized_Difference_Sound_Index_main_value,Spectral_Entropy_main_value,NB_peaks_main_value,Temporal_Entropy_main_value,Wave_Signal_To_Noise_Ratio_main_value,
Test_audios,site1,2025-04-07,19:09:55,1 copy.wav,1838.5305348733916,150.59803454143074,156.1579514826774,153.21087790611597,152.78153398526348,1.8318717381893612,3.3557540651769115,2.008021979091079,0.38285787793029336,7.437163689276592,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,20.878449031809136,
Test_audios,site1,2025-03-21,18:12:16,1.wav,1838.5305348733916,150.59803454143074,156.1579514826774,153.21087790611597,152.78153398526348,1.8318717381893612,3.3557540651769115,2.008021979091079,0.38285787793029336,7.437163689276592,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,20.878449031809136,
Test_audios,site2,2025-04-07,19:09:56,1.wav,1838.5305348733916,150.59803454143074,156.1579514826774,153.21087790611597,152.78153398526348,1.8318717381893612,3.3557540651769115,2.008021979091079,0.38285787793029336,7.437163689276592,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,20.878449031809136,
Test_audios,site3,2025-04-07,19:09:56,1.wav,1838.5305348733916,150.59803454143074,156.1579514826774,153.21087790611597,152.78153398526348,1.8318717381893612,3.3557540651769115,2.008021979091079,0.38285787793029336,7.437163689276592,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,20.878449031809136,
Test_audios,site4,2025-06-23,10:00:37,1.wav,1924.5654615681785,151.47348827307425,168.6753342573718,160.38045513068158,161.47269771419417,7.5016466610058,56.274702626579476,2.0090045222802013,0.3820347413240892,7.429787271647207,0.9911338186665574,0.8825807258744307,4.0,0.9772458041225969,20.778449031809135,
Test_audios,site4,2025-06-23,10:00:37,1.wav,1924.5654615681785,151.47348827307425,168.6753342573718,160.38045513068158,161.47269771419417,7.5016466610058,56.274702626579476,2.0090045222802013,0.3820347413240892,7.429787271647207,0.9911338186665574,0.8825807258744307,4.0,0.9772458041225969,20.778449031809135,
Test_audios,site1,2025-04-07,19:09:56,2.wav,1871.1606523025682,152.31496707547095,159.64149076640658,155.93005435854738,155.75737164277274,1.7685757045417871,3.127860022695479,1.7315922562172528,0.5682330571777807,8.516843380912858,0.6483881867806478,0.797921802569739,0.0,0.9805277950695528,21.646824591278495,
Test_audios,site2,2025-04-04,08:54:39,2.wav,1871.1606523025682,152.31496707547095,159.64149076640658,155.93005435854738,155.75737164277274,1.7685757045417871,3.127860022695479,1.7315922562172528,0.5682330571777807,8.516843380912858,0.6483881867806478,0.797921802569739,0.0,0.9805277950695528,21.646824591278495,
Test_audios,site3,2025-04-07,19:09:56,2.wav,1871.1606523025682,152.31496707547095,159.64149076640658,155.93005435854738,155.75737164277274,1.7685757045417871,3.127860022695479,1.7315922562172528,0.5682330571777807,8.516843380912858,0.6483881867806478,0.797921802569739,0.0,0.9805277950695528,21.646824591278495,
Test_audios,site4,2025-06-23,10:00:37,2.wav,2001.7756786736825,156.67159085009945,171.51722772510513,166.81463988947354,168.77853832702715,4.582344609391602,20.997882119220275,1.732633503491866,0.567816278943658,8.492379232688373,0.6482565924523607,0.7919422493587124,0.0,0.9805323397018214,21.868738919630765,
Test_audios,site4,2025-06-23,10:00:37,2.wav,2001.7756786736825,156.67159085009945,171.51722772510513,166.81463988947354,168.77853832702715,4.582344609391602,20.997882119220275,1.732633503491866,0.567816278943658,8.492379232688373,0.6482565924523607,0.7919422493587124,0.0,0.9805323397018214,21.868738919630765,
Test_audios,site3,2025-04-04,08:54:39,3.wav,1815.3411448874235,149.7095281762545,153.6731388527406,151.27842874061864,151.57705160640245,1.0791462078866887,1.1645565379962204,1.3470157477826443,0.6744344740965179,7.969827120143493,0.9689436394213333,0.5363025380691129,0.0,0.9918504534619288,13.158109955176478,
Test_audios,site4,2025-06-09,10:34:55,original1.wav,2019.5166019650837,166.45316470506054,170.793943085894,168.293050163757,167.95170224861573,1.3210259431504445,1.7451095424765217,2.009064102116789,0.38176046632475574,7.425790046174377,0.9911192141505502,0.8790494815963817,4.0,0.9772536056391605,19.86518860254383,
Test_audios,site4,2025-06-09,10:34:55,original2.wav,2038.3245667526594,165.35524614034242,174.2361574191652,169.86038056272162,169.86676412724114,2.2038989895535965,4.857170756155363,1.7322554135978987,0.5679310251335302,8.499675921413322,0.6482695674721554,0.7905627038645119,0.0,0.98053037130338,21.868738919630765,
