project_name, site, date, time, filename,Acoustic_Complexity_Index_main_value,Acoustic_Complexity_Index_min,Acoustic_Complexity_Index_max,Acoustic_Complexity_Index_mean,Acoustic_Complexity_Index_median,Acoustic_Complexity_Index_std,Acoustic_Complexity_Index_var,Bio_acoustic_Index_main_value,Acoustic_Diversity_Index_main_value,Acoustic_Evenness_Index_main_value,Normalized_Difference_Sound_Index_main_value,Spectral_Entropy_main_value,NB_peaks_main_value,Temporal_Entropy_main_value,
project a,site1,2025-04-06,19:03:55,1.wav,1838.5305348733916,150.5980345414308,156.15795148267733,153.21087790611597,152.78153398526348,1.8318717381893423,3.3557540651768423,7.437163689276592,2.008021979091079,0.38285787793029336,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,
project a,site2,2025-04-06,19:03:55,2.wav,1871.1606523025682,152.31496707547095,159.64149076640663,155.93005435854738,155.75737164277274,1.7685757045417965,3.1278600226955118,8.516843380912858,1.7315922562172528,0.5682330571777807,0.6483881867806478,0.7979218025697391,0.0,0.9805277950695528,
project a,site3,2025-04-06,19:03:55,3.wav,1815.3411448874235,149.7095281762545,153.6731388527406,151.27842874061864,151.57705160640248,1.079146207886689,1.1645565379962208,7.969827120143493,1.3470157477826443,0.6744344740965179,0.9689436394213333,0.5363025380691128,0.0,0.9918504534619288,
project a,site1,2025-04-06,19:25:20,1 copy.wav,1838.5305348733916,150.5980345414308,156.15795148267733,153.21087790611597,152.78153398526348,1.8318717381893423,3.3557540651768423,7.437163689276592,2.008021979091079,0.38285787793029336,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,
project a,site1,2025-04-06,19:03:55,1.wav,1838.5305348733916,150.5980345414308,156.15795148267733,153.21087790611597,152.78153398526348,1.8318717381893423,3.3557540651768423,7.437163689276592,2.008021979091079,0.38285787793029336,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,
project a,site1,2025-04-06,19:25:34,2.wav,1871.1606523025682,152.31496707547095,159.64149076640663,155.93005435854738,155.75737164277274,1.7685757045417965,3.1278600226955118,8.516843380912858,1.7315922562172528,0.5682330571777807,0.6483881867806478,0.7979218025697391,0.0,0.9805277950695528,
project a,site1,2025-04-06,19:25:34,2.wav,1871.1606523025682,152.31496707547095,159.64149076640663,155.93005435854738,155.75737164277274,1.7685757045417965,3.1278600226955118,8.516843380912858,1.7315922562172528,0.5682330571777807,0.6483881867806478,0.7979218025697391,0.0,0.9805277950695528,
project a,site2,2025-04-06,19:25:22,1.wav,1838.5305348733916,150.5980345414308,156.15795148267733,153.21087790611597,152.78153398526348,1.8318717381893423,3.3557540651768423,7.437163689276592,2.008021979091079,0.38285787793029336,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,
project a,site2,2025-04-06,19:03:55,2.wav,1871.1606523025682,152.31496707547095,159.64149076640663,155.93005435854738,155.75737164277274,1.7685757045417965,3.1278600226955118,8.516843380912858,1.7315922562172528,0.5682330571777807,0.6483881867806478,0.7979218025697391,0.0,0.9805277950695528,
project a,site3,2025-04-06,19:25:24,1.wav,1838.5305348733916,150.5980345414308,156.15795148267733,153.21087790611597,152.78153398526348,1.8318717381893423,3.3557540651768423,7.437163689276592,2.008021979091079,0.38285787793029336,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,
project a,site3,2025-04-06,19:25:36,2.wav,1871.1606523025682,152.31496707547095,159.64149076640663,155.93005435854738,155.75737164277274,1.7685757045417965,3.1278600226955118,8.516843380912858,1.7315922562172528,0.5682330571777807,0.6483881867806478,0.7979218025697391,0.0,0.9805277950695528,
project a,site3,2025-04-06,19:03:55,3.wav,1815.3411448874235,149.7095281762545,153.6731388527406,151.27842874061864,151.57705160640248,1.079146207886689,1.1645565379962208,7.969827120143493,1.3470157477826443,0.6744344740965179,0.9689436394213333,0.5363025380691128,0.0,0.9918504534619288,
project a,site1,2025-04-06,19:25:20,1 copy.wav,1838.5305348733916,150.5980345414308,156.15795148267733,153.21087790611597,152.78153398526348,1.8318717381893423,3.3557540651768423,7.437163689276592,2.008021979091079,0.38285787793029336,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,
project a,site1,2025-04-06,19:03:55,1.wav,1838.5305348733916,150.5980345414308,156.15795148267733,153.21087790611597,152.78153398526348,1.8318717381893423,3.3557540651768423,7.437163689276592,2.008021979091079,0.38285787793029336,0.991149869224854,0.8854258905023674,4.0,0.9772401116321681,
project a,site1,2025-04-06,19:25:34,2.wav,1871.1606523025682,152.31496707547095,159.64149076640663,155.93005435854738,155.75737164277274,1.7685757045417965,3.1278600226955118,8.516843380912858,1.7315922562172528,0.5682330571777807,0.6483881867806478,0.7979218025697391,0.0,0.9805277950695528,
